marque,modele,annee,sous_modele,version,prix,consommation,moteur,puissance,transmission,carrosserie,portes,places,url
Acura,RDX,2007,Base,Base,41000,12.5 (Automatique ville) / 9.3 (Automatique autoroute),L4 2.3L Turbo DACT 16 soupapes,240 cv @                                                     600 rpm,Automatique,SUV,4,5,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/rdx/2007/base/base/
Acura,RDX,2007,Base,Technology,45000,12.5 (Automatique ville) / 9.3 (Automatique autoroute),L4 2.3L Turbo DACT 16 soupapes,240 cv @                                                     600 rpm,Automatique,SUV,4,5,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/rdx/2007/base/technology/
Acura,RDX,2008,Base,Base,41400,12.5 (Automatique ville) / 9.3 (Automatique autoroute),L4 2.3L turbo DACT 16 soupapes,240 cv @                                                     6000 rpm,Automatique,SUV,4,5,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/rdx/2008/base/base/
Acura,RDX,2008,Base,Technology,45100,12.5 (Automatique ville) / 9.3 (Automatique autoroute),L4 2.3L turbo DACT 16 soupapes,240 cv @                                                     6000 rpm,Automatique,SUV,4,5,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/rdx/2008/base/technology/
Acura,RDX,2009,Base,Base,41400,12.5 (Automatique ville) / 9.3 (Automatique autoroute),L4 2.3L turbo DACT 16 soupapes,240 cv @                                                     6000 rpm,Automatique,SUV,5,5,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/rdx/2009/base/base/
Acura,RDX,2009,Base,Technology,45100,12.5 (Automatique ville) / 9.3 (Automatique autoroute),L4 2.3L turbo DACT 16 soupapes,240 cv @                                                     6000 rpm,Automatique,SUV,5,5,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/rdx/2009/base/technology/
Acura,RDX,2010,Base,Base,39990,11.7 (Automatique ville) / 8.7 (Automatique autoroute),L4 2.3L turbo DACT 16 soupapes,240 cv @                                                     6000 rpm,Automatique,SUV,5,5,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/rdx/2010/base/base/
Acura,RDX,2010,Base,Technology,42990,11.7 (Automatique ville) / 8.7 (Automatique autoroute),L4 2.3L turbo DACT 16 soupapes,240 cv @                                                     6000 rpm,Automatique,SUV,5,5,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/rdx/2010/base/technology/
Acura,RDX,2011,Base,SH-AWD,40490,11.7 (Automatique ville) / 8.7 (Automatique autoroute),L4 2.3L turbo DACT 16 soupapes,240 cv @                                                     6000 rpm,Automatique,SUV,5,5,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/rdx/2011/base/sh-awd/
Acura,RDX,2011,Base,SH-AWD TECH,42490,11.7 (Automatique ville) / 8.7 (Automatique autoroute),L4 2.3L turbo DACT 16 soupapes,240 cv @                                                     6000 rpm,Automatique,SUV,5,5,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/rdx/2011/base/sh-awd-tech/
Acura,RDX,2012,Base,SH-TI,40490,11.7 (Automatique ville) / 8.7 (Automatique autoroute),L4 2.3L turbo DACT 16 soupapes,240 cv @                                                     6000 rpm,Automatique,SUV,5,N/O,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/rdx/2012/base/sh-ti/
